# Possibilities.csv																																		
# Massive list of possibilities to choose from	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
# Home alone things (Weekend)																																		
#	BW	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R
Go for a hike together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go out to a bar together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go ice skating together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to the beach together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
																																		
																																		
# Out alone things (Weekday evenings)																																		
Go watch a movie	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to an art gallery	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to a museum	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go attempt to buy new clothes	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go on a hike	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go get some fancy espresso drink	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go hang out with Mindy	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go grocery shopping	1	0	-100	17	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
# Out together things (Weekday evenings)																																		
Go watch a movie together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to an art gallery together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to a museum together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go attempt to buy new clothes together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go play bar trivia together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Find a concert to go to	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Walk around until you find something interesting	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go for a hike together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go out to a bar together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go ice skating together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to the beach together	1	0	-100	17	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Hungry things																																		
Make something with whatever's in the fridge	1	0	-100	0	0	0	3	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Go to the closest restaurant immediately	1	0	-100	0	0	0	4	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
